id|name|district_id
795|Lubuk Lingkuk|68
796|Kurau Barat|69
797|Kurau (Timur)|69
798|Kulur Hilir|68
799|Koba|69
800|Kulur|68
801|Guntung|69
802|Bukit Kijang|67
803|Berok|69
804|Belimbing|68
805|Batu Beriga|68
806|Baskara Bakti/Bhakti|67
807|Arung Dalam|69
808|Tanjung Pura|70
809|Sungai Selan Atas|70
810|Sarangmandi|70
811|Sungai Selan|70
812|Ramadhon (Romadhoni)|70
813|Melabun|70
814|Munggu|70
815|Keretak Atas|70
816|Lampur|70
817|Kerantai|70
818|Keretak|70
819|Kerakas|70
820|Kemingking|70
821|Terak|71
822|Teru|71
823|Simpang Katis|71
824|Sungkap|71
825|Pinang Sebatang|71
826|Puput|71
827|Pasir Garam|71
828|Celuak|71
829|Katis|71
830|Beruas|71
831|Senyubuk|72
832|Mentawak|72
833|Pembaharuan|72
834|Mayang|72
835|Cendil|72
836|Burung Mandi|73
837|Buding|72
838|Simpang Tiga|74
839|Air Kelik|73
840|Selingsing|75
841|Renggiang|74
842|Lintang|74
843|Limbongan|75
844|Lenggang|75
845|Lilangan|75
846|Jangkar Asam|75
847|Gantung|75
848|Batu Penyu|75
849|Aik Madu|74
850|Tanjung Kelumpang|76
851|Tanjung Batu Itam|76
852|Nyuruk|77
853|Simpang Pesak|76
854|Jangkang|77
855|Dukong|76
856|Dendang|77
857|Balok|77
858|Kelubi|78
859|Mekar Jaya|78
860|Bentaian Jaya|78
861|Padang|78
862|Mengkubang|73
863|Mempaya|73
864|Kurnia Jaya|78
865|Sukamandi|73
866|Pulau Buku Limau|78
867|Baru|78
868|Lalang Jaya|78
869|Lalang|78
870|Suak Gual|79
871|Petaling|79
872|Pulau Gresik|79
873|Selat Nasik|79
874|Simpang Rusa|80
875|Tanjung Rusa|80
876|Pulau Seliu|80
877|Pulau Sumedang|80
878|Mentigi|80
879|Padang Kandis|80
880|Perpat|80
881|Lassar|80
882|Membalong|80
883|Gunung Riting|80
884|Kembiri|80
885|Sungai Samak|81
886|Bantan|80
887|Kacang Botor|81
888|Pegantungan|81
889|Cerucuk|81
890|Ibul|81
891|Badau|81
892|Air Batu|81
893|Juru Seberang|82
894|Terong|83
895|Air Saga|82
896|Tanjung Binga|83
897|Tanjong Tinggi|83
898|Sungai Padang|83
899|Sijuk|83
900|Pelepak Pute|83
901|Paal Satu|82
902|Keciput|83
903|Batu Itam|83
904|Air Seru|83
905|Air Selumar|83
906|Aik Palempang Jaya|82
907|Perawas|82
908|Aik Rayak|82
909|Pangkal Lalang|82
910|Tanjung Pendam|82
911|Parit|82
912|Lesung Batang|82
913|Kota Tanjung Pandan|82
914|Dukong|82
915|Buluh Tumbang|82
916|Air Merbau|82
917|Aik Ketekok|82
918|Simpang Tiga|84
919|Simpang Gung|84
920|Rambat|84
921|Peradong|84
922|Pangek|84
923|Pelangas|84
924|Mayang|84
925|Kundi|84
926|Ibul|84
927|Bukit Terak|84
928|Berang|84
929|Air Nyatoh|84
930|Air Menduyung|84
931|Tempilang|85
932|Tanjungniur|85
933|Sinar Surya|85
934|Simpang Yul|85
935|Sangku|85
936|Penyampak|85
937|Buyan Kelumbi|85
938|Benteng Kota/Kuta|85
939|Air Lintang|85
940|Tuik|86
941|Terentang|86
942|Tugang|86
943|Sinar Sari|86
944|Tebing|86
945|Pangkal Beras|86
946|Pusuk|86
947|Mancung|86
948|Kayuarang|86
949|Kelapa|86
950|Kacung|86
951|Beruas|86
952|Dendang|86
953|Tumbak Petar|87
954|Air Bulin|86
955|Telak|88
956|Teluk Limau|88
957|Sinar Manik|87
958|Sungai Buluh|87
959|Sekar Biru|88
960|Semulut|88
961|Ranggi Asam|87
962|Rukam|87
963|Mislak|87
964|Pebuar|87
965|Puput|88
966|Ketap|87
967|Limbung|87
968|Kelabat|88
969|Kapit|88
970|Jebus|87
971|Cupat|88
972|Air Kuang|87
973|Bakit|88
974|Air Gantang|88
975|Air Limau|89
976|Air Putih|89
977|Belolaut|89
978|Sungai Daeng|89
979|Air Belo|89
980|Sungai Baru|89
981|Tanjung|89
982|Air Ruai|90
983|Karya Makmur|90
984|Pemali|90
985|Silip|91
986|Air Duren|90
987|Riding Panjang|92
988|Riau|91
989|Pugul|91
990|Mapur|91
991|Pangkal Niur|91
992|Gunung Pelawan|92
993|Kuto Panji|92
994|Lumut|92
995|Gunung Muda|92
996|Deniang|91
997|Bukit Ketok|92
998|Cit|91
999|Bintet|92
1000|Berbura|91
1001|Air Jukung|92
1002|Banyu Asin|91
1003|Neknang|93
1004|Tiang Tara|93
1005|Mabat|93
1006|Mangka|93
1007|Maras Senang|93
1008|Bukit Layang|93
1009|Dalil|93
1010|Kapuk|93
1011|Bakam|93
1012|Penyamun|90
1013|Sempan|90
1014|Parit Padang|94
1015|Sinar Baru|94
1016|Kudai (Kuday)|94
1017|Srimenanti|94
1018|Kenanga|94
1019|Rebo|94
1020|Sungailiat|94
1021|Saing|95
1022|Tanah Bawah|95
1023|Labu|95
1024|Nibung|95
1025|Pudingbesar|95
1026|Kayu Besi|95
1027|Kota Waringin|95
1028|Petaling Banjar|96
1029|Rukam|96
1030|Zed|96
1031|Penagan|96
1032|Petaling|96
