id|name|city_id
653|Tanah Kampung|54
654|Sitinjau Laut|53
655|Gunung Tujuh|53
656|Kayu Aro|53
657|Kayu Aro Barat|53
658|Siulak|53
659|Gunung Kerinci|53
660|Siulak Mukai|53
661|Depati Tujuh|53
662|Air Hangat Timur|53
663|Air Hangat|53
664|Air Hangat Barat|53
665|Hamparan Rawang|54
666|Pesisir Bukit|54
667|Koto Baru|54
668|Pondok Tinggi|54
669|Sungai Bungkal|54
670|Sungai Penuh|54
671|Kumun Debai|54
672|Sadu|55
673|Rantau Rasau|55
674|Nipah Panjang|55
675|Mendahara Ulu|55
676|Mendahara|55
677|Geragai|55
678|Dendang|55
679|Kuala Jambi|55
680|Muara Sabak Barat|55
681|Muara Sabak Timur|55
682|Pemayung|56
683|Batin XXIV|56
684|Maro Sebo Ilir|56
685|Maro Sebo Ulu|56
686|Mersam|56
687|Muara Tembesi|56
688|Muara Bulian|56
689|Bajubang|56
690|Berbak|55
691|Tungkal Ilir|57
692|Betara|57
693|Kuala Betara|57
694|Merlung|57
695|Renah Mendaluh|57
696|Muara Papalik|57
697|Pengabuan|57
698|Senyerang|57
699|Tebing Tinggi|57
700|Batang Asam|57
701|Tungkal Ulu|57
702|Seberang Kota|57
703|Bram Itam|57
704|Taman Rajo / Rejo|58
705|Maro Sebo|58
706|Jambi Luar Kota|58
707|Sekernan|58
708|Sungai Gelam|58
709|Kumpeh Ulu|58
710|Bahar Utara|58
711|Kumpeh|58
712|Bahar Selatan|58
713|Sungai Bahar|58
714|Mestong|58
715|Danau Teluk|59
716|Pelayangan|59
717|Jambi Timur|59
718|Jambi Selatan|59
719|Jelutung|59
720|Pasar Jambi|59
721|Telanaipura|59
722|Kota Baru|59
723|Bojonggambir|60
724|Bojongasih|60
725|Taraju|60
726|Sodonghilir|60
727|Salawu|60
728|Puspahiang|60
729|Padakembang|60
730|Sariwangi|60
731|Leuwisari|60
732|Cigalontang|60
733|Mangunreja|60
734|Sukarame|60
735|Gunung Tanjung|60
736|Sukaresik|60
737|Singaparna|60
738|Cibeureum|483
739|Sukaratu|60
